species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
eB8_Utopia,Sediment_Ocean,heterMP,5000.0,0.41710841463382475
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.26862799331035675
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.08886914898936892
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.05796918840799817
cB8_Utopia,Sediment_Ocean,heterMP,50.0,0.04018203382279896
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.03402457901719888
dB8_Utopia,Sediment_Ocean,heterMP,500.0,0.018470549509361528
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.018291951156106007
eB9_Utopia,Sediment_Coast,heterMP,5000.0,0.009954853530004575
eB7_Utopia,Sediment_Freshwater,heterMP,5000.0,0.00878143547565109
