,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,4.955548473656335,0.011049042554909778,6.31399894665832e-08,1846.6781271816737
1,Ocean_Mixed_Water,2.379942802142414,0.22099621981243267,1.5161748922160144e-09,1846.8065594339864
2,Ocean_Column_Water,5.586045138664982,6.639193045691355,1.1885253232150096e-10,1852.9900098590183
3,Coast_Surface_Water,0.10017636678294485,0.00015394184029727994,9.933772878590093e-08,2002.4395124927055
4,Coast_Column_Water,0.04641583551473411,0.003079108291015711,2.301362999979875e-09,2002.6160832126586
5,Surface_Freshwater,0.023098400479329866,5.681583190843963e-05,5.59338290870545e-08,1804.7447901983994
6,Bulk_Freshwater,0.00734860418147424,0.0005685412705159889,1.779497981614869e-09,1805.9612286062354
7,Sediment_Freshwater,0.21772990263138867,0.2586977332750876,5.272428786496836e-06,82174874.62240204
8,Sediment_Ocean,70.24831376722011,83.49248480100285,0.00014946513634053545,2330264222.923402
9,Sediment_Coast,0.838050421778782,0.996051148086139,2.0799393378316634e-05,324276847.8132767
10,Urban_Soil_Surface,0.002183259574913079,0.001673742980047302,8.513541968802513e-08,856145.2645280766
11,Urban_Soil,0.019492961766970466,0.015403094059378253,7.601210135811402e-08,787891.94011404
12,Background_Soil_Surface,1.5693514163964708,0.784807135263733,3.8730085996853495e-05,254065083.2289177
13,Background_Soil,13.983625766864993,7.549066164204775,3.451024562376756e-05,244385408.48188984
14,Agricultural_Soil_Surface,0.0012902507378631173,0.0013698291922288875,4.776322388297802e-08,665180.8172260307
15,Agricultural_Soil,0.0005765180024514518,0.000616118804890118,4.268373210816531e-08,598367.1723016612
16,Air,0.020810113603821682,0.02473351783847422,1.4903705078892174e-13,2.3235898447527306
