,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,9.403816790478667e-19,9.403519155443392e-19,6.914096250694893e-34,1.0779210776396618e-32
1,Ocean_Mixed_Water,9.397593327722546e-19,9.397295692970989e-19,3.4547602447205077e-35,5.386038424988042e-34
2,Ocean_Column_Water,9.395830162481384e-19,9.395544238366167e-19,1.153606360149846e-36,1.7984969868793426e-35
3,Coast_Surface_Water,1.0800645982822545e-17,1.0800627386146396e-17,6.180408286046013e-31,9.635665326400081e-30
4,Coast_Column_Water,1.079818917286799e-17,1.0798170577099575e-17,3.089501218002387e-32,4.816736755115275e-31
5,Surface_Freshwater,1.374473242670392e-19,1.3744685875624414e-19,1.9206464108873398e-32,2.9944098116259434e-31
6,Bulk_Freshwater,1.3745064882953452e-19,1.3745018328887954e-19,1.9206928672957016e-33,2.994482239713661e-32
7,Sediment_Freshwater,1.4097117393991315e-20,1.4097248353100804e-20,1.969887596649258e-32,3.0712188817872867e-31
8,Sediment_Ocean,1.4917037375757724e-21,1.4736057378083503e-21,1.8314921506331745e-34,2.8207790970470668e-33
9,Sediment_Coast,1.5593221490513749e-19,1.5592692044089768e-19,2.233237196198883e-31,3.481652284496876e-30
10,Urban_Soil_Surface,3.568949433998722e-07,3.5689494339987213e-07,8.030892041033556e-19,1.2520713460583027e-17
11,Urban_Soil,3.398996002892157e-07,3.398996002892157e-07,7.648460829143054e-20,1.1924476878395297e-18
12,Background_Soil_Surface,3.568949433998718e-07,3.568949433998718e-07,5.082614107050512e-19,7.924145230684296e-18
13,Background_Soil,3.3989960028921543e-07,3.3989960028921543e-07,4.8405799391648563e-20,7.546797303669089e-19
14,Agricultural_Soil_Surface,3.5675138324701593e-07,3.5675138324701593e-07,7.620854456192827e-19,1.1881436642811296e-17
15,Agricultural_Soil,3.397628764732142e-07,3.3976287647321425e-07,1.451589848175562e-18,2.2631284866529425e-17
16,Air,99.99999790989665,99.99999790989665,4.1327418011786924e-17,6.443228925845797e-16
