species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.8496717138171086
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.057981911505543174
dC7_Utopia,Sediment_Freshwater,biofMP,500.0,0.047811945308828686
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.027573410007814086
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.0057534631953164205
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,0.004087262552386144
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.004046602367874648
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,0.0019628932417764377
eC5_Utopia,Surface_Freshwater,biofMP,5000.0,0.0004087262552138054
eB5_Utopia,Surface_Freshwater,heterMP,5000.0,0.00025488724979485627
