Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,PVC,sphere,1580,2500,2500,2500
mp2,freeMP,PVC,sphere,1580,250,250,250
mp3,freeMP,PVC,sphere,1580,25,25,25
mp4,freeMP,PVC,sphere,1580,2.5,2.5,2.5
mp5,freeMP,PVC,sphere,1580,0.25,0.25,0.25
