Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,PVC,sphere,1583.129040275705,0.25,0.25,0.25
mp2,freeMP,PVC,sphere,1583.129040275705,2.5,2.5,2.5
mp3,freeMP,PVC,sphere,1583.129040275705,25.0,25.0,25.0
mp4,freeMP,PVC,sphere,1583.129040275705,250.0,250.0,250.0
mp5,freeMP,PVC,sphere,1583.129040275705,2500.0,2500.0,2500.0
