species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.9626011199679323
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.014900790929485316
dC8_Utopia,Sediment_Ocean,biofMP,500.0,0.007831375424748436
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.006024260870548529
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.00397763075076495
dD9_Utopia,Sediment_Coast,heterBiofMP,500.0,0.002201923649474939
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0009980608412850347
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00043448345751963215
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.00033409679396705696
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.00027086882085252
