species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6990619701580664
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.15502469908587016
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.10610848309564032
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.01014682674014471
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.010065115430192458
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008740038192571685
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,0.004594591019272192
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,0.002436796152446848
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.0019562631494067545
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.000991551368827671
