species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.42607232275992485
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.23582622552165852
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.10433755646949562
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.10017833058229719
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.05095347484791983
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.025362240410140346
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.01285345009490236
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.009397660699248045
cA10_Utopia,Urban_Soil_Surface,freeMP,50.0,0.008322904816820723
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.006134353807903699
