species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.6362520047033922
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.19568206979837047
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.12105157199809695
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.01742248241314946
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.009231218757782876
aB9_Utopia,Sediment_Coast,heterMP,0.5,0.009194702861110843
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.005842280339948175
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,0.0025771145343441077
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0015141929804763565
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.000330123971926713
