Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6455407335615047e-13,0.0,0.0,8.546511627906976e-09,0.00022271596058211996,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.4396066074782574e-12,0.0,0.0,8.546511627906976e-09,0.00046335097443422663,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,"[4.756469715093217e-11, 4.756469715093217e-11, 0.0, 0.0, 0.0]",0.0,4.23019456023116e-10,0.0,0.0,8.546511627906976e-09,0.00950279113769856,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,"[4.851598175039907e-10, 1.617199391679969e-10, 1.617199391679969e-10, 0.0, 0.0]",0.0,2.4675069159262567e-06,0.0,0.0,8.546511627906976e-09,0.787933603333087,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,"[5.5603120243549625e-09, 1.1914954337903492e-09, 7.943302891935663e-10, 3.971651445967831e-10, 0.0]",0.0,0.023329176081794065,0.0,0.0,8.546511627906976e-09,77.42770648529817,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.166841470937223e-07,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,7.72790352314625e-10,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",1.8319178610589018e-05,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,7.727903523146252e-08,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",0.11988791105191464,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,7.72790352314625e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",1163.0995456926264,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0007727903523146249,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941146e-09, 0.0]",11595765.596768307,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.07727903523146251,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320863168261496e-16,3.858024691358025e-07,0.0,4.273255813953488e-09,1.691901432056164e-09,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-12, 0.0, 0.0, 0.0, 0.0]",0.0,1.83501093191107e-14,3.858024691358025e-07,0.0,4.273255813953488e-09,7.738913463489781e-08,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422937e-12, 7.927450638422937e-12, 0.0, 0.0, 0.0]",0.0,1.198881592318884e-10,3.858024691358025e-07,0.0,4.273255813953488e-09,7.727914535894367e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp4,1.6045073624072808e-10,"[9.51293759830036e-11, 3.170979199433453e-11, 3.170979199433453e-11, 0.0, 0.0]",0.0,1.1630995481230036e-06,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0007727903534159009,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321309e-09, 2.3782343987831375e-10, 1.5854895991887587e-10, 7.927447995943793e-11, 0.0]",0.0,0.01159576559679258,3.858024691358025e-07,0.0,4.273255813953488e-09,0.07727903523157269,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0003644458759004528,0.0,0.0,0.0,4.273255813953488e-09,2.2265926837654355e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
