species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.9749033340505432
eD3_Utopia,Coast_Surface_Water,heterBiofMP,5000.0,0.02501784495586698
eB0_Utopia,Ocean_Surface_Water,heterMP,5000.0,6.899509740341732e-05
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,6.447316989406765e-06
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,1.3912821337275657e-06
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,9.328949753553763e-07
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,4.827005805714644e-07
eB3_Utopia,Coast_Surface_Water,heterMP,5000.0,3.1484396571325247e-07
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,1.0658022172307748e-07
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,8.071624993514236e-08
