species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9273029697494838
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.04159860188565998
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.026327043085293815
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.001564881455336554
aA14_Utopia,Agricultural_Soil_Surface,freeMP,0.5,0.0013866200628553328
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0007203573125295638
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.00043241076383608454
aB5_Utopia,Surface_Freshwater,heterMP,0.5,0.0002671555459676452
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.00020636388862085958
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.0001341678707259135
