,eA0_Utopia,dA0_Utopia,cA0_Utopia,bA0_Utopia,aA0_Utopia,eB0_Utopia,dB0_Utopia,cB0_Utopia,bB0_Utopia,aB0_Utopia,eA1_Utopia,dA1_Utopia,cA1_Utopia,bA1_Utopia,aA1_Utopia,eB1_Utopia,dB1_Utopia,cB1_Utopia,bB1_Utopia,aB1_Utopia,eA2_Utopia,dA2_Utopia,cA2_Utopia,bA2_Utopia,aA2_Utopia,eB2_Utopia,dB2_Utopia,cB2_Utopia,bB2_Utopia,aB2_Utopia
eA0_Utopia,-0.0005573233766641623,1.5854895991882294e-07,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dA0_Utopia,0.0,-0.0005571806826002353,1.5854895991882296e-08,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cA0_Utopia,0.0,0.0,-2.7889240896944638e-05,1.5854895991882293e-09,0.0,0.0,0.0,2.6722827703101953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bA0_Utopia,0.0,0.0,0.0,-2.1286801296202406e-06,1.5854895991882296e-10,0.0,0.0,0.0,9.636938764168232e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA0_Utopia,0.0,0.0,0.0,0.0,-2.611399561055841e-06,0.0,0.0,0.0,0.0,1.4465560019163503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eB0_Utopia,0.000556,0.0,0.0,0.0,0.0,-0.0005573219326075428,1.5854895992542924e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dB0_Utopia,0.0,0.000556,0.0,0.0,0.0,0.0,-0.0005571792385442698,1.5854896652502942e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cB0_Utopia,0.0,0.0,2.667882468976667e-06,0.0,0.0,0.0,0.0,-3.832851672252502e-06,1.5855556585024687e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bB0_Utopia,0.0,0.0,0.0,9.708752320699167e-08,0.0,0.0,0.0,0.0,-1.2663919942511417e-06,1.648975633444243e-10,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,5.755925863473383e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aB0_Utopia,0.0,0.0,0.0,0.0,8.13243449461785e-08,0.0,0.0,0.0,0.0,-1.2587306161125756e-06,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,1.3943138231729608e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
