species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.6771143981301202
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.1506190000139324
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.0793052304170597
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.048864161278104924
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.013999419886425453
bA10_Utopia,Urban_Soil_Surface,freeMP,5.0,0.010870122554912893
cA10_Utopia,Urban_Soil_Surface,freeMP,50.0,0.00568000625997216
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.003035858479558349
eA10_Utopia,Urban_Soil_Surface,freeMP,5000.0,0.0026344273205518294
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,0.0014530165011327415
