Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,7.94330289193303e-07,185484.2397526175,0.0,0.0,0.0,6.4244186046511625e-09,0.0060506095050781705,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,8.085996955859972e-08,114.07089100180588,0.0,0.0,0.0,6.4244186046511625e-09,0.0003539352342739655,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,9.512937595129377e-09,0.15166384679045697,0.0,0.0,0.0,6.4244186046511625e-09,3.324849788338115e-05,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,2.3782343987823448e-09,0.001463669616894119,0.0,0.0,0.0,6.4244186046511625e-09,4.717491123856346e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,1.6647640791476412e-09,0.000389530602095806,0.0,0.0,0.0,6.4244186046511625e-09,2.39974601792786e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,0.0,0.0,18548.423979472384,0.0,0.0,6.4244186046511625e-09,0.006050609506471721,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,0.0,0.0,11.40708953266481,0.0,0.0,6.4244186046511625e-09,0.00035393524787086066,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,0.0,0.0,0.015166438950244068,0.0,0.0,6.4244186046511625e-09,3.324860798827353e-05,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,0.0,0.0,0.0001463823145568647,0.0,0.0,6.4244186046511625e-09,4.7178989532641016e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,0.0,0.0,3.896423392084218e-05,0.0,0.0,6.4244186046511625e-09,2.400325446070438e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
