species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9206725602146776
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.07563275829514701
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.001553692226723269
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.001418232880166365
aB5_Utopia,Surface_Freshwater,heterMP,0.5,0.00026583546050763655
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.0002044249547676232
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.00013828857981923017
aA5_Utopia,Surface_Freshwater,freeMP,0.5,3.937279820574621e-05
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,1.775536084387224e-05
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,1.7198610131726606e-05
