species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.8867804635154433
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.036608871523943015
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.023361357127034632
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.013727484429656519
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.009206839061970064
dC8_Utopia,Sediment_Ocean,biofMP,500.0,0.007214525918433615
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.005567082641041862
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.0036646264558662426
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.003562200222464833
cA12_Utopia,Background_Soil_Surface,freeMP,50.0,0.0018086798824575858
