species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9907902451027182
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.0070318692166101695
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0016720201824744181
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.00021306067758660328
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.00014986940264044696
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,8.16692571046022e-05
aB5_Utopia,Surface_Freshwater,heterMP,0.5,3.2738957536865435e-05
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,9.122483080037591e-06
aC7_Utopia,Sediment_Freshwater,biofMP,0.5,6.476886916425341e-06
aA5_Utopia,Surface_Freshwater,freeMP,0.5,4.848955688996456e-06
