species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.8160771301917634
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.08787479350114369
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.03570040312769669
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.029438448398707486
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.022594174051537765
bA12_Utopia,Background_Soil_Surface,freeMP,5.0,0.00142090163582276
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0013771809309597817
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.0013043478375792113
aA14_Utopia,Agricultural_Soil_Surface,freeMP,0.5,0.0011900134375898899
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0010205919482271543
