species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6255652780499893
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.1360511372276187
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09096222682239546
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.04462672594264328
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.02756554821968779
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,0.024139244040414207
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.010062619324074979
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.009846000864613041
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.007821905675561675
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.006259527054320399
