species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6437584918623777
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.14171980478343663
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09653491686836896
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.05425750345997836
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.01202727500620507
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.010687559636706352
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.009227946016922879
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.00804871410903142
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.006445090139465081
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,0.0041804855144879005
