,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,0.00015210698838578408,0.0015515669652235169,7.665870387358981e-13,6.712559280939705
1,Ocean_Mixed_Water,0.003045566059452014,0.031063969340983714,7.674504280067904e-13,6.719617663186316
2,Ocean_Column_Water,0.11160152856409629,1.1503357053473366,9.39233705963115e-13,8.310620138860164
3,Coast_Surface_Water,7.309965327865013e-05,0.000697056075258313,2.8672383355109143e-11,234.7045449911717
4,Coast_Column_Water,0.001464292673951919,0.013957367074745122,2.8717482921283263e-11,234.97804587233938
5,Surface_Freshwater,5.2068300142795167e-08,5.256745452889569e-07,4.987300903283575e-14,0.4322295205862501
6,Bulk_Freshwater,5.210110080719693e-07,5.259886479755739e-06,4.990442676353763e-14,0.4324877877115427
7,Sediment_Freshwater,0.00022753123508156468,0.0021801144094204454,2.1793811803639908e-09,17925.726372940473
8,Sediment_Ocean,0.9218283604246545,8.765639943600418,7.758068176694257e-07,6332751.692105979
9,Sediment_Coast,98.95175970714372,89.9400840051242,0.0009714122359440917,757946657.2946848
10,Urban_Soil_Surface,1.1662818534778448e-06,1.1001268591235524e-05,1.79890386153638e-11,145.66409301524888
11,Urban_Soil,1.0210358400377837e-05,9.642759208863697e-05,1.5748725832729445e-11,127.67652772722836
12,Background_Soil_Surface,0.0010100450299606238,0.009679232517711007,9.859809440695742e-09,81109.92758203871
13,Background_Soil,0.008798630231554685,0.08439384529557069,8.58900493036987e-09,70720.26286968775
14,Agricultural_Soil_Surface,6.454618691422263e-07,6.123499481167059e-06,9.451258372944636e-12,76.97045172083051
15,Agricultural_Soil,2.832765622803889e-07,2.6905367548281865e-06,8.295826939148146e-12,67.63839207549141
16,Air,2.6253537883458674e-05,0.00029516579124810145,7.437160624178428e-17,0.0007177788427967036
