,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,4.999222826805056,0.01307516161261469,7.05514492200436e-08,1622.6880067005504
1,Ocean_Mixed_Water,10.12178840398378,0.2615222760231854,7.142178547941073e-09,1622.8061777011987
2,Ocean_Column_Water,6.7083598455507,10.435795305097283,1.5809240904977366e-10,2162.7421028627596
3,Coast_Surface_Water,0.09719522031318821,0.00017124333239225056,1.0675409082758448e-07,1654.008757006686
4,Coast_Column_Water,0.14388104537688387,0.0034253698043168663,7.901566629016382e-09,1654.2517519306246
5,Surface_Freshwater,0.021646746762246854,5.036877226224667e-05,5.80598552432114e-08,1188.0348855714178
6,Bulk_Freshwater,0.01263262631650444,0.0005040554240224013,3.388261817507867e-09,1188.9021731207774
7,Sediment_Freshwater,0.189776308012554,0.24722934052303788,5.090088174827577e-06,58313329.48695607
8,Sediment_Ocean,61.7592671903765,80.00665067567823,0.00014554483593707328,1658079205.9116526
9,Sediment_Coast,0.7599450182502946,1.0043744691014944,2.08907176888384e-05,242801501.771909
10,Urban_Soil_Surface,0.002163855304949766,0.0016124293390136705,9.34595729712478e-08,612436.1022598855
11,Urban_Soil,0.019326928517962565,0.01484372552391814,8.347538220336527e-08,563797.3201631833
12,Background_Soil_Surface,1.5278661199117631,0.7519105886927314,4.176420571127461e-05,180746394.42075387
13,Background_Soil,13.621677142344508,7.233165654277443,3.723484138376588e-05,173872882.2175076
14,Agricultural_Soil_Surface,0.0012803421775591799,0.0013610107122962677,5.249721168713167e-08,490745.4078614514
15,Agricultural_Soil,0.000572273355538601,0.0006123583908483268,4.692926002935878e-08,441601.3269538882
16,Air,0.013398106639985193,0.023695967694976058,1.0628057492722072e-13,1.6529869703027167
